t	xA	yA	xB	yB	xC	yC
0.319691	-2.033341	0.712546	-1.845635	1.260930	-0.366975	1.762175
0.324070	-2.032945	0.711707	-1.844704	1.260353	-0.366621	1.761116
0.328450	-2.033212	0.712147	-1.844709	1.260272	-0.366206	1.761106
0.332829	-2.033404	0.711998	-1.844517	1.260311	-0.366530	1.761253
0.337208	-2.033768	0.711253	-1.845171	1.259337	-0.366101	1.760910
0.341588	-2.033675	0.711256	-1.844932	1.259392	-0.366420	1.760822
0.345967	-2.033841	0.711037	-1.844826	1.259343	-0.366223	1.760964
0.350346	-2.033676	0.711926	-1.844578	1.260258	-0.367226	1.762225
0.354726	-2.033914	0.712590	-1.844588	1.260432	-0.367069	1.762382
0.359105	-2.033435	0.712000	-1.844322	1.260302	-0.366913	1.762496
0.363484	-2.034084	0.711821	-1.844803	1.259908	-0.367306	1.762603
0.367864	-2.033939	0.711362	-1.844514	1.259825	-0.367522	1.762027
0.372243	-2.034086	0.711722	-1.844661	1.260080	-0.367464	1.761973
0.376622	-2.033843	0.711475	-1.844626	1.259821	-0.367521	1.761984
0.381002	-2.034674	0.712234	-1.845344	1.259918	-0.368579	1.762873
0.385381	-2.033617	0.711806	-1.844366	1.259860	-0.367617	1.762478
0.389760	-2.033999	0.710722	-1.844683	1.259022	-0.367353	1.761776
0.394140	-2.033709	0.710722	-1.844545	1.259429	-0.367459	1.762121
0.398519	-2.033959	0.711874	-1.844621	1.259916	-0.368021	1.762793
0.402898	-2.033863	0.712158	-1.844584	1.260336	-0.368578	1.763310
0.407278	-2.034567	0.711715	-1.844931	1.259514	-0.368182	1.761929
0.411657	-2.034189	0.711651	-1.844698	1.259648	-0.367917	1.761834
0.416036	-2.033822	0.711698	-1.843980	1.259992	-0.367383	1.762406
0.420416	-2.034036	0.711320	-1.844720	1.259160	-0.367862	1.761921
0.424795	-2.034004	0.711151	-1.844770	1.259045	-0.367834	1.761639
0.429174	-2.034225	0.710885	-1.845029	1.259085	-0.368201	1.761934
0.433553	-2.034235	0.711272	-1.844735	1.259156	-0.367709	1.761857
0.437933	-2.034014	0.711486	-1.844669	1.259566	-0.368370	1.762591
0.442312	-2.034228	0.712052	-1.844575	1.259896	-0.368757	1.763382
0.446691	-2.034070	0.711040	-1.844685	1.259420	-0.368738	1.763021
0.451071	-2.033903	0.711995	-1.844315	1.259859	-0.367802	1.762902
0.455450	-2.034291	0.711573	-1.844729	1.259619	-0.369023	1.763200
0.459829	-2.034074	0.712002	-1.844403	1.259659	-0.368782	1.763055
0.464209	-2.033891	0.710995	-1.844303	1.259121	-0.368788	1.762690
0.468588	-2.034117	0.710739	-1.844423	1.258969	-0.368004	1.762502
0.472967	-2.034633	0.711160	-1.845356	1.258875	-0.368818	1.762765
0.477347	-2.034004	0.711416	-1.844161	1.259544	-0.368279	1.762912
0.481726	-2.034484	0.711760	-1.844945	1.259921	-0.369008	1.763353
0.486105	-2.033769	0.711613	-1.844033	1.259547	-0.367602	1.762411
0.490485	-2.034346	0.710522	-1.844939	1.259242	-0.367974	1.762023
0.494864	-2.034519	0.711534	-1.844948	1.259681	-0.368467	1.763047
0.499243	-2.034015	0.711264	-1.844560	1.259504	-0.368288	1.762643
0.503623	-2.034405	0.711393	-1.844944	1.259555	-0.368624	1.763196
0.508002	-2.034322	0.711168	-1.844896	1.259515	-0.368494	1.762743
0.512381	-2.034829	0.712183	-1.845250	1.260012	-0.369576	1.763785
0.516761	-2.033751	0.710929	-1.844527	1.259518	-0.368103	1.762335
0.521140	-2.033525	0.711780	-1.844090	1.259715	-0.367730	1.762909
0.525519	-2.034450	0.711222	-1.845165	1.259293	-0.368138	1.762418
0.529899	-2.034327	0.711515	-1.845094	1.259335	-0.368658	1.762774
0.534278	-2.034289	0.711519	-1.845075	1.259277	-0.368403	1.762431
0.538657	-2.034429	0.712619	-1.845092	1.260160	-0.368600	1.763497
0.543037	-2.034359	0.711176	-1.844868	1.259008	-0.368052	1.762053
0.547416	-2.034502	0.710499	-1.844853	1.258432	-0.368175	1.761828
0.551795	-2.034170	0.711536	-1.844860	1.259504	-0.368350	1.762575
0.556175	-2.034187	0.712372	-1.844490	1.260426	-0.368486	1.763377
0.560554	-2.033988	0.711413	-1.844511	1.259634	-0.368214	1.762456
0.564933	-2.034261	0.710612	-1.844663	1.258780	-0.367765	1.761761
0.569313	-2.034499	0.711239	-1.845144	1.259429	-0.368345	1.762322
0.573692	-2.034446	0.711218	-1.844807	1.259376	-0.367626	1.761862
0.578071	-2.034462	0.711373	-1.844909	1.259256	-0.368461	1.762382
0.582451	-2.034854	0.711536	-1.845499	1.259427	-0.369173	1.762559
0.586830	-2.034014	0.710973	-1.844217	1.259330	-0.368150	1.762237
0.591209	-2.034079	0.711589	-1.844320	1.259636	-0.368700	1.763336
0.595589	-2.034181	0.710835	-1.845253	1.259463	-0.368332	1.762470
0.599968	-2.034744	0.711146	-1.845679	1.258950	-0.368577	1.762428
0.604347	-2.033849	0.710845	-1.844570	1.259478	-0.367983	1.762437
0.608727	-2.034150	0.711960	-1.844451	1.260018	-0.368540	1.763152
0.613106	-2.034210	0.710942	-1.844845	1.259181	-0.368335	1.762273
0.617485	-2.034623	0.711652	-1.845080	1.259435	-0.369288	1.763140
0.621865	-2.034220	0.710864	-1.844807	1.259555	-0.368527	1.763081
0.626244	-2.034163	0.711559	-1.844608	1.259894	-0.368442	1.763279
0.630623	-2.034334	0.711464	-1.845048	1.259775	-0.369008	1.763416
0.635003	-2.034573	0.711854	-1.845007	1.259766	-0.368677	1.763202
0.639382	-2.034164	0.711191	-1.844702	1.259306	-0.368462	1.762701
0.643761	-2.034276	0.711477	-1.844770	1.259718	-0.368460	1.763178
0.648141	-2.034060	0.710841	-1.844739	1.259266	-0.368683	1.763042
0.652520	-2.034657	0.711417	-1.845118	1.259342	-0.368804	1.762931
0.656899	-2.034445	0.711519	-1.845004	1.259465	-0.368875	1.762958
0.661279	-2.034725	0.711852	-1.844899	1.259914	-0.369383	1.763845
0.665658	-2.034666	0.711314	-1.844966	1.259408	-0.368878	1.762772
0.670037	-2.034716	0.711079	-1.845136	1.259238	-0.368724	1.762638
0.674417	-2.034462	0.710613	-1.845098	1.259090	-0.368752	1.762829
0.678796	-2.034725	0.710430	-1.845142	1.258882	-0.368296	1.762361
0.683175	-2.034512	0.710895	-1.844906	1.259964	-0.369012	1.763275
0.687555	-2.035301	0.710997	-1.845630	1.259576	-0.369048	1.762923
0.691934	-2.033776	0.710466	-1.844358	1.259478	-0.368031	1.762280
0.696313	-2.034574	0.711028	-1.845333	1.259466	-0.368500	1.762627
0.700692	-2.034327	0.710365	-1.845205	1.259114	-0.368616	1.762963
0.705072	-2.034100	0.710642	-1.844974	1.259604	-0.368687	1.763466
0.709451	-2.034118	0.711392	-1.844904	1.260116	-0.368835	1.763649
0.713830	-2.034492	0.710963	-1.845165	1.259668	-0.368660	1.763190
0.718210	-2.034090	0.711587	-1.844654	1.260056	-0.368537	1.763145
0.722589	-2.034607	0.711466	-1.845149	1.259488	-0.368407	1.762940
0.726968	-2.033866	0.711458	-1.844740	1.259727	-0.367966	1.763006
0.731348	-2.034855	0.711375	-1.845416	1.259660	-0.368415	1.762338
0.735727	-2.034424	0.710700	-1.845318	1.259119	-0.368382	1.761978
0.740106	-2.034405	0.711330	-1.844933	1.259732	-0.368296	1.762333
0.744486	-2.034263	0.711663	-1.844668	1.260148	-0.368256	1.762322
0.748865	-2.034251	0.711046	-1.844769	1.259596	-0.368417	1.762402
0.753244	-2.034472	0.710760	-1.844916	1.259298	-0.368399	1.762422
0.757624	-2.034569	0.711392	-1.844866	1.259765	-0.369256	1.763379
0.762003	-2.034128	0.710542	-1.844765	1.259295	-0.368281	1.762328
0.766382	-2.034530	0.710854	-1.844845	1.259223	-0.368094	1.762282
0.770762	-2.034256	0.710834	-1.845055	1.259333	-0.368648	1.762984
0.775141	-2.034137	0.710926	-1.844890	1.259310	-0.367990	1.762789
0.779520	-2.034123	0.710135	-1.844901	1.259017	-0.367794	1.762102
0.783900	-2.034181	0.711137	-1.845123	1.259564	-0.368687	1.763394
0.788279	-2.034178	0.710867	-1.845068	1.259540	-0.368541	1.762968
0.792658	-2.034886	0.710497	-1.846030	1.258617	-0.369122	1.762732
0.797038	-2.034597	0.711449	-1.845535	1.259611	-0.369572	1.763549
0.801417	-2.034574	0.711126	-1.845156	1.259384	-0.369007	1.763004
0.805796	-2.033788	0.710489	-1.844559	1.259191	-0.368349	1.762455
0.810176	-2.034528	0.710678	-1.845390	1.258733	-0.368554	1.762499
0.814555	-2.034663	0.711300	-1.845451	1.259734	-0.369534	1.763358
0.818934	-2.034426	0.712032	-1.844896	1.259841	-0.368380	1.763255
0.823314	-2.033755	0.711705	-1.844389	1.259714	-0.367896	1.763113
0.827693	-2.034309	0.710556	-1.844656	1.259025	-0.368027	1.762543
0.832072	-2.034323	0.709808	-1.844881	1.258642	-0.367721	1.761586
0.836452	-2.034242	0.710561	-1.844413	1.259272	-0.367062	1.761918
0.840831	-2.033609	0.710329	-1.844114	1.259258	-0.366931	1.761813
0.845210	-2.034097	0.710974	-1.844490	1.259881	-0.367839	1.762720
0.849590	-2.034062	0.709098	-1.845100	1.258671	-0.367854	1.762005
0.853969	-2.034283	0.710981	-1.844881	1.260246	-0.368629	1.763589
0.858348	-2.034018	0.710605	-1.844636	1.259576	-0.367967	1.762639
0.862728	-2.034033	0.711266	-1.844703	1.260109	-0.368474	1.763101
0.867107	-2.034241	0.709420	-1.845083	1.258667	-0.368296	1.761793
0.871486	-2.034304	0.711133	-1.844739	1.259509	-0.368127	1.762785
0.875866	-2.034351	0.710590	-1.844938	1.259155	-0.368995	1.762696
0.880245	-2.033892	0.711164	-1.844269	1.259724	-0.368684	1.763183
0.884624	-2.034584	0.710511	-1.845286	1.259094	-0.369279	1.762900
0.889004	-2.034690	0.710890	-1.845166	1.259470	-0.369303	1.762974
0.893383	-2.034294	0.710788	-1.844990	1.259313	-0.369000	1.762605
0.897762	-2.034218	0.711170	-1.844722	1.259294	-0.367913	1.762648
0.902142	-2.034365	0.710581	-1.845021	1.258893	-0.368601	1.762538
0.906521	-2.034564	0.710767	-1.845033	1.258621	-0.368495	1.762453
0.910900	-2.034025	0.710531	-1.844735	1.259040	-0.368130	1.762422
0.915280	-2.033954	0.711194	-1.844342	1.259391	-0.367696	1.762620
0.919659	-2.033614	0.710189	-1.844068	1.259150	-0.367292	1.762061
0.924038	-2.033572	0.710113	-1.844095	1.259178	-0.367197	1.761948
0.928418	-2.033237	0.709367	-1.844157	1.259036	-0.367562	1.762165
0.932797	-2.034068	0.710999	-1.844738	1.259934	-0.368326	1.763172
0.937176	-2.034251	0.710239	-1.845093	1.259005	-0.368105	1.762565
0.941556	-2.034793	0.710399	-1.845735	1.258582	-0.368264	1.762488
0.945935	-2.034561	0.710456	-1.845598	1.259010	-0.368771	1.762631
0.950314	-2.034695	0.710262	-1.845491	1.258430	-0.368665	1.762216
0.954693	-2.034541	0.709483	-1.845331	1.258358	-0.368430	1.762074
0.959073	-2.034703	0.710387	-1.845184	1.258986	-0.368486	1.762495
0.963452	-2.034654	0.710882	-1.845404	1.259076	-0.368222	1.761952
0.967831	-2.035006	0.710777	-1.845454	1.258639	-0.367623	1.760871
