t,xA,yA,xB,yB,xC,yC
0.372872,-1.080413,1.499682,-0.833522,2.395638,0.452820,1.722591
0.377259,-1.081158,1.499480,-0.834623,2.395512,0.452190,1.722479
0.381646,-1.079754,1.501471,-0.833638,2.396482,0.454738,1.723950
0.386033,-1.079017,1.501515,-0.832387,2.395915,0.455153,1.723928
0.390419,-1.079712,1.501128,-0.833075,2.396321,0.454932,1.723904
0.394806,-1.082060,1.498260,-0.835120,2.394748,0.450945,1.721519
0.399193,-1.081124,1.498760,-0.833840,2.395182,0.452152,1.722047
0.403580,-1.079600,1.500769,-0.832651,2.396035,0.454780,1.723760
0.407966,-1.079912,1.501248,-0.833297,2.396895,0.454665,1.724134
0.412353,-1.081003,1.499606,-0.833926,2.395678,0.452709,1.722639
0.416740,-1.078931,1.502025,-0.832510,2.397307,0.455888,1.724700
0.421127,-1.077881,1.503113,-0.831590,2.397187,0.457318,1.725360
0.425513,-1.079730,1.500338,-0.833030,2.395606,0.453841,1.723043
0.429900,-1.081096,1.498244,-0.834777,2.394362,0.451219,1.721298
0.434287,-1.078964,1.501531,-0.832798,2.396525,0.455150,1.724181
0.438674,-1.078671,1.501511,-0.832063,2.396378,0.455745,1.724355
0.443060,-1.080067,1.500511,-0.833330,2.395467,0.453622,1.723005
0.447447,-1.080270,1.500313,-0.833500,2.395594,0.453631,1.723044
0.451834,-1.078887,1.503385,-0.832511,2.398233,0.457015,1.725799
0.456220,-1.079048,1.501500,-0.832461,2.395922,0.454759,1.723615
0.460607,-1.080298,1.500387,-0.833688,2.395703,0.453175,1.722896
0.464994,-1.081659,1.497606,-0.835127,2.393953,0.450070,1.720540
0.469381,-1.080282,1.499786,-0.833662,2.395503,0.452837,1.722446
0.473767,-1.078954,1.501658,-0.832637,2.396884,0.455562,1.724369
0.478154,-1.079467,1.501243,-0.833069,2.396657,0.454701,1.723957
0.482541,-1.080622,1.499787,-0.834087,2.395602,0.452674,1.722616
0.486928,-1.079476,1.500638,-0.832903,2.396236,0.454396,1.723411
0.491314,-1.078364,1.502570,-0.831954,2.397603,0.456724,1.725264
0.495701,-1.080068,1.500026,-0.833446,2.395203,0.453302,1.722629
0.500088,-1.079909,1.500066,-0.833263,2.395112,0.453406,1.722658
0.504475,-1.079782,1.500387,-0.833011,2.395328,0.453751,1.722890
0.508861,-1.079524,1.500655,-0.833004,2.395671,0.454590,1.723517
