t,xA,yA,xB,yB,xC,yC
0.61,3.137825419,2.08024126,4.990173334,3.537328866,7.646760179,2.14357644
0.62,3.14889454,2.043311157,5.008824457,3.490432213,7.661224965,2.088729303
0.63,3.159894814,2.005899117,5.02758939,3.442945046,7.675560794,2.032892935
0.64,3.170797443,1.968092362,5.046238817,3.394904121,7.689428322,1.975908435
0.65,3.181611002,1.929760473,5.06493327,3.346812517,7.705231611,1.922444519
0.66,3.192232605,1.89106408,5.084230886,3.300935679,7.733650302,1.893606177
0.67,3.202295662,1.853742744,5.103061519,3.256807745,7.76868837,1.880423679
0.68,3.211562379,1.818812669,5.120973447,3.214415573,7.805275092,1.874817017
0.69,3.220124726,1.785948287,5.137916074,3.173391006,7.841074211,1.872262379
0.7,3.228146066,1.754592641,5.153980951,3.133428371,7.875152042,1.870405208
0.71,3.235752317,1.724312667,5.169360887,3.09431333,7.907288367,1.868037373
0.72,3.243040468,1.694770903,5.18413997,3.055915082,7.937514605,1.864727552
0.73,3.250103646,1.665711105,5.198437445,3.018135702,7.966019345,1.860340374
0.74,3.256953306,1.637043669,5.212256125,2.980936428,7.992952019,1.855001291
0.75,3.262855444,1.613235175,5.22553103,2.948976122,8.014285543,1.843151606
0.76,3.266901298,1.603198399,5.238637739,2.933472773,8.025555291,1.823026855
0.77,3.270198742,1.600754823,5.248173956,2.928317517,8.028929289,1.802529187
0.78,3.273749607,1.593332111,5.254160441,2.919915238,8.034855976,1.793979223
0.79,3.276799415,1.584914059,5.259178626,2.911294374,8.042723186,1.792420339
0.8,3.278844821,1.583477155,5.263717949,2.911471617,8.047377743,1.792884294
0.81,3.280059687,1.585752979,5.265613778,2.915863947,8.047284561,1.792339509
0.82,3.281209224,1.585899139,5.265831443,2.916903843,8.048451348,1.7957322
0.83,3.281464109,1.587993344,5.265409102,2.920338963,8.047240223,1.797211625
0.84,3.281078564,1.592376768,5.263963146,2.925906306,8.045758751,1.802690922
0.85,3.280342119,1.597488151,5.261640979,2.932375706,8.043851861,1.810189326
0.86,3.279230462,1.603095443,5.258644474,2.939287408,8.040703572,1.81672479
0.87,3.277966585,1.608937186,5.255134837,2.946311161,8.036878135,1.822966219
0.88,3.276600405,1.615054951,5.251223772,2.953292078,8.032626164,1.829103329
0.89,3.275184951,1.62130898,5.24703773,2.960102486,8.027829809,1.834404925
0.9,3.27378674,1.627422146,5.242733523,2.966628588,8.02287428,1.839323423
0.91,3.272434974,1.633291418,5.2384241,2.972878813,8.017939351,1.844032273
0.92,3.271138715,1.638874273,5.234170111,2.978998663,8.013298254,1.849199435
0.93,3.269913361,1.644133377,5.229976746,2.98512533,8.008889171,1.85479562
0.94,3.268786243,1.648929828,5.225851771,2.990603276,8.004961289,1.860758244
0.95,3.2678615,1.652865999,5.221739647,2.994711518,8.001595801,1.866704752
0.96,3.26709383,1.65611203,5.217820052,2.998075992,7.998530008,1.872175627
0.97,3.266442752,1.658832756,5.214223685,3.001027788,7.99570292,1.877029231
0.98,3.265874835,1.66114972,5.210824864,3.00365999,7.992900582,1.881138635
0.99,3.265342202,1.66325999,5.207881246,3.00622061,7.990231631,1.884380229
1,3.264818405,1.66530565,5.205413681,3.008777573,7.987746154,1.886892759
1.01,3.264318824,1.667256442,5.203460833,3.011252271,7.985510497,1.888666326
1.02,3.263876418,1.668975151,5.202129076,3.013488849,7.983648803,1.889590471
1.03,3.263517026,1.67034006,5.201374838,3.015309333,7.982180906,1.889646336
1.04,3.263270269,1.671231202,5.20105065,3.016520028,7.981052378,1.888872043
1.05,3.263163866,1.671544665,5.201034188,3.016964946,7.980208935,1.887280335
1.06,3.263216847,1.671213417,5.201273097,3.016557056,7.979620528,1.884839267
1.07,3.263433722,1.670194927,5.201650177,3.015385828,7.97962295,1.882748694
1.08,3.263812138,1.668542459,5.202236617,3.013492108,7.980461537,1.881473601
1.09,3.264327195,1.666351525,5.203132972,3.010898621,7.982036984,1.880548193
1.1,3.264966364,1.663649812,5.204324229,3.007613533,7.984231603,1.879732961
1.11,3.265721402,1.660450688,5.205740745,3.0036597,7.986920225,1.8789196
1.12,3.266585846,1.656783502,5.207394921,2.999092837,7.990061898,1.878037941
1.13,3.267557585,1.652660483,5.209284536,2.993924187,7.993629228,1.877042716
1.14,3.268486826,1.64877625,5.211417393,2.989146087,7.997224782,1.875918001
1.15,3.26906337,1.646466243,5.213324549,2.986064247,7.998826065,1.872071035
1.16,3.269428435,1.645002845,5.214798899,2.984366354,8.000194414,1.870108128
1.17,3.26979288,1.643508897,5.216091302,2.982700342,8.001949346,1.869599031
1.18,3.270009463,1.642667776,5.217082797,2.98182598,8.003367399,1.86979285
1.19,3.270122086,1.642270815,5.217852534,2.981427588,8.004450744,1.87018055
1.2,3.270176669,1.642118238,5.218470705,2.981300279,8.005268366,1.870553522
1.21,3.270210678,1.642093263,5.219103917,2.981312737,8.006001207,1.870815981
1.22,3.270237703,1.642102345,5.219635091,2.981362978,8.006588645,1.871007438
1.23,3.270250906,1.642132409,5.21996566,2.981456642,8.006957496,1.871197194
1.24,3.270253634,1.642189469,5.220093214,2.981591637,8.007106394,1.87138577
1.25,3.270241723,1.642303,5.22004881,2.9817854,8.0070589,1.871571781
1.26,3.270212249,1.642476734,5.219874372,2.982043446,8.006854902,1.871755624
1.27,3.270167988,1.642699502,5.219590776,2.982354929,8.006521994,1.871943335
1.28,3.270112368,1.642966732,5.219213713,2.982720148,8.006078643,1.872142198
1.29,3.270046498,1.643271876,5.218771827,2.983130178,8.005556459,1.872350751
1.3,3.269974867,1.643599741,5.218285757,2.98356829,8.004981654,1.872566267
1.31,3.26989681,1.643962601,5.217756797,2.984044355,8.00435432,1.872795613
1.32,3.269814347,1.644342624,5.217214864,2.984538537,8.003707855,1.873027706
1.33,3.269726167,1.644743157,5.21663972,2.98504427,8.003027753,1.873270354
1.34,3.269638218,1.645133398,5.216083249,2.985533441,8.002369207,1.873503733
1.35,3.269548755,1.645519502,5.215556777,2.986011818,8.001741122,1.873727544
1.36,3.269457863,1.645905205,5.215044218,2.986479379,8.001129531,1.873947071
1.37,3.269367902,1.646264717,5.214566124,2.986915801,8.00055875,1.874151406
1.38,3.269292626,1.646543985,5.214136704,2.987264779,8.000058489,1.874323036
1.39,3.269234846,1.646744727,5.213755281,2.987523654,7.999630167,1.874464516
1.4,3.269188459,1.646896562,5.213427104,2.987721939,7.999270223,1.874583291
1.41,3.26914984,1.647017083,5.21314703,2.987878721,7.998967552,1.874683518
1.42,3.269117473,1.647116767,5.2129161,2.988005755,7.998718767,1.87476587
1.43,3.269092469,1.647194476,5.212736199,2.988103166,7.9985249,1.874828331
1.44,3.269072994,1.64725248,5.212603874,2.988173538,7.998381436,1.874870829
1.45,3.269058666,1.647293294,5.212511888,2.988220002,7.998280396,1.874894637
1.46,3.269049836,1.647317037,5.2124611,2.988244989,7.998221456,1.874899223
1.47,3.269044669,1.647332383,5.212443642,2.988257336,7.998195086,1.874889272
1.48,3.269039665,1.64735307,5.212450054,2.988270886,7.99818843,1.874870125
1.49,3.269038584,1.64736355,5.212479764,2.988271078,7.998205231,1.874838019
1.5,3.269043405,1.647355081,5.212533008,2.988250347,7.998248183,1.87479154
1.51,3.269067663,1.647269304,5.212612441,2.988150826,7.998338639,1.8747196
1.52,3.269096812,1.647168205,5.212715282,2.988030732,7.998457678,1.874640033
1.53,3.269122429,1.647084302,5.212828136,2.987924655,7.998581797,1.874562142
1.54,3.269146902,1.647006814,5.212944087,2.987825235,7.998706692,1.874485105
1.55,3.269171175,1.646931535,5.213062309,2.98772868,7.998832541,1.874407632
1.56,3.269195781,1.646855533,5.213181575,2.987632685,7.998958861,1.874329291
1.57,3.269221687,1.64677412,5.213299378,2.987530694,7.999085857,1.874250307
1.58,3.269248426,1.646689067,5.213414818,2.987423014,7.999212977,1.874171856
1.59,3.269274212,1.646607889,5.213526544,2.987322867,7.999334788,1.874096946
1.6,3.269297415,1.646537299,5.213631383,2.987237982,7.999445864,1.874027669
1.61,3.26931787,1.646477547,5.21372703,2.987167131,7.999544378,1.873963994
1.62,3.269336154,1.64642599,5.213812608,2.987107537,7.999630544,1.873905875
1.63,3.269351946,1.646383867,5.213888725,2.987059247,7.999704775,1.873852866
1.64,3.269365394,1.64635067,5.213952419,2.987011794,7.999767792,1.873803719
1.65,3.269376548,1.646326305,5.214005112,2.986967475,7.9998205,1.873759438
1.66,3.269385218,1.64631142,5.214048531,2.986933489,7.999862022,1.873720704
1.67,3.269391444,1.646305727,5.214082995,2.98691222,7.999891651,1.873687337
1.68,3.269395418,1.646308397,5.214108757,2.986903597,7.999909484,1.873658874
1.69,3.269397791,1.646316671,5.214126515,2.98690478,7.999916969,1.873634352
1.7,3.269400952,1.646320446,5.214139582,2.98690962,7.999919148,1.873611947
1.71,3.269401594,1.646333076,5.214149372,2.986935684,7.999911588,1.873594598
1.72,3.269400657,1.64635103,5.21415408,2.986970985,7.999896294,1.873579853
1.73,3.269400352,1.646365661,5.214153375,2.987004362,7.999876766,1.873566136
1.74,3.269399495,1.646381797,5.214150419,2.987038061,7.99985528,1.873553477
1.75,3.269397183,1.646403272,5.214143752,2.987075531,7.999829484,1.87354309
1.76,3.2693934,1.646430721,5.214130547,2.98711406,7.999797799,1.87353539
1.77,3.26938891,1.646460919,5.214113961,2.987143661,7.999766006,1.873526953
1.78,3.26938418,1.646491749,5.214097605,2.987167867,7.999736356,1.873517904
1.79,3.269378913,1.646524123,5.214081843,2.98719289,7.999707123,1.873509232
1.8,3.269374665,1.646551521,5.214067509,2.987214483,7.99968024,1.873499437
1.81,3.269371462,1.646574097,5.214055769,2.987233051,7.999656646,1.873488356
1.82,3.269368447,1.646595419,5.214046074,2.987251976,7.999634765,1.873476806
1.83,3.269368698,1.646602689,5.214040282,2.987258498,7.999620283,1.873461594
1.84,3.2693681,1.646613348,5.214037301,2.98726881,7.999607272,1.873446823
1.85,3.26936711,1.646625405,5.214036023,2.987281058,7.999595197,1.873432066
1.86,3.269367481,1.646631622,5.214037053,2.987288133,7.999586751,1.873415446
1.87,3.269369534,1.646630977,5.214042117,2.987288461,7.999584116,1.873396519
1.88,3.269370576,1.646634507,5.214049093,2.98729263,7.99958208,1.873378155
1.89,3.269371415,1.646638896,5.21405747,2.987297637,7.99958103,1.873359587
1.9,3.269374798,1.646632731,5.214068676,2.987292408,7.999585704,1.873338027
1.91,3.269377878,1.64662816,5.214082559,2.987288225,7.999592602,1.873316376
1.92,3.269380725,1.646624694,5.214097043,2.987284958,7.999599878,1.873295085
1.93,3.269386082,1.646610482,5.214110272,2.987270844,7.999609761,1.873272607
1.94,3.269391134,1.646597712,5.214119286,2.987259845,7.999615541,1.873253523
1.95,3.269395582,1.646587816,5.214123023,2.98725195,7.999615929,1.873237253
1.96,3.269401687,1.646571664,5.214125834,2.987236269,7.999617952,1.873219602
1.97,3.269405529,1.646565382,5.214128116,2.987228713,7.99961694,1.87320381
1.98,3.269410402,1.646554676,5.214131315,2.987216989,7.999617941,1.873186589
