t,xA,yA,xB,yB,xC,yC
-0.208333,-2.231156,0.603015,-2.080402,1.326633,-0.422111,1.778894
-0.203938,-2.226222,0.602143,-2.075894,1.325935,-0.418546,1.777953
-0.199542,-2.223257,0.601620,-2.072748,1.325158,-0.417634,1.777013
-0.195146,-2.222959,0.601814,-2.072568,1.325293,-0.416848,1.777244
-0.190750,-2.222903,0.601958,-2.072761,1.325517,-0.416363,1.777526
-0.186354,-2.222704,0.601163,-2.072328,1.324655,-0.415032,1.776960
-0.181958,-2.222563,0.600807,-2.072124,1.324891,-0.414849,1.777021
-0.177562,-2.224845,0.603531,-2.074363,1.327319,-0.416984,1.779236
-0.173166,-2.227227,0.603840,-2.076712,1.327636,-0.419091,1.780665
-0.168771,-2.231050,0.605201,-2.080966,1.329077,-0.422558,1.781763
-0.164375,-2.232036,0.605990,-2.081981,1.329750,-0.423544,1.781964
-0.159979,-2.233713,0.605205,-2.083041,1.328912,-0.424627,1.780939
-0.155583,-2.232467,0.605138,-2.081785,1.328475,-0.423509,1.780593
-0.151187,-2.232371,0.603710,-2.081805,1.327673,-0.423719,1.779645
-0.146791,-2.233066,0.603139,-2.082342,1.326670,-0.424419,1.778661
-0.142395,-2.231087,0.602971,-2.080754,1.327118,-0.422717,1.778993
-0.138000,-2.232007,0.604973,-2.081537,1.328449,-0.423280,1.780695
-0.133604,-2.231676,0.604159,-2.081511,1.328305,-0.423065,1.780413
-0.129208,-2.231645,0.604567,-2.081154,1.328026,-0.422778,1.780169
-0.124812,-2.231212,0.604110,-2.081131,1.328024,-0.422557,1.779992
-0.120416,-2.231032,0.603633,-2.080600,1.327259,-0.422466,1.779579
-0.116020,-2.232437,0.604199,-2.082258,1.328828,-0.423615,1.780674
-0.111624,-2.232081,0.603751,-2.081689,1.327973,-0.423026,1.779854
-0.107228,-2.231580,0.603296,-2.081131,1.327837,-0.422663,1.779606
-0.102833,-2.231860,0.603387,-2.081212,1.327129,-0.422934,1.779092
-0.098437,-2.232331,0.603912,-2.082176,1.328383,-0.423584,1.780106
-0.094041,-2.232991,0.603256,-2.082701,1.327013,-0.424368,1.778685
-0.089645,-2.232372,0.603766,-2.082442,1.328265,-0.423841,1.779829
-0.085249,-2.232042,0.604591,-2.082011,1.328410,-0.423271,1.780295
-0.080853,-2.232148,0.604170,-2.081960,1.328086,-0.423512,1.779946
-0.076457,-2.232179,0.604284,-2.081607,1.327729,-0.423356,1.779640
-0.072061,-2.231659,0.603026,-2.081437,1.326806,-0.423218,1.778963
-0.067666,-2.231868,0.604488,-2.081484,1.327967,-0.423013,1.780018
-0.063270,-2.231827,0.603396,-2.081223,1.327529,-0.422969,1.779408
-0.058874,-2.232321,0.603339,-2.081457,1.327278,-0.423069,1.779089
-0.054478,-2.232050,0.603826,-2.081290,1.327730,-0.422930,1.779609
-0.050082,-2.231506,0.604519,-2.080620,1.328490,-0.422435,1.780099
-0.045686,-2.230973,0.603383,-2.080372,1.327384,-0.422359,1.779591
-0.041290,-2.231114,0.603422,-2.080294,1.327342,-0.422231,1.779314
-0.036895,-2.231700,0.603584,-2.081384,1.328234,-0.422818,1.779864
-0.032499,-2.231551,0.602585,-2.081140,1.326475,-0.422628,1.778380
-0.028103,-2.231606,0.603054,-2.081168,1.327073,-0.422970,1.779046
-0.023707,-2.231976,0.603896,-2.081430,1.327715,-0.423095,1.779622
-0.019311,-2.232050,0.603297,-2.081694,1.327152,-0.423585,1.779217
-0.014915,-2.231937,0.603140,-2.081617,1.326994,-0.423533,1.779123
-0.010519,-2.231111,0.603497,-2.080954,1.327473,-0.422574,1.779604
-0.006124,-2.232494,0.603390,-2.081671,1.326721,-0.423019,1.778589
-0.001728,-2.232648,0.604327,-2.080020,1.327160,-0.417677,1.776311
0.002668,-2.232595,0.603457,-2.073639,1.325934,-0.408484,1.771126
0.007064,-2.232490,0.603722,-2.070048,1.322170,-0.397900,1.765109
0.011460,-2.232454,0.604425,-2.062430,1.318587,-0.390109,1.759300
0.015856,-2.232262,0.603380,-2.057278,1.317276,-0.381219,1.753593
0.020252,-2.232191,0.603437,-2.050813,1.314637,-0.376226,1.748620
0.024648,-2.231791,0.603511,-2.048493,1.314702,-0.371380,1.746138
0.029043,-2.232117,0.604332,-2.044209,1.312484,-0.366287,1.743446
0.033439,-2.231476,0.603322,-2.036514,1.309100,-0.356255,1.735849
0.037835,-2.231459,0.603005,-2.031759,1.303602,-0.347320,1.728343
0.042231,-2.230930,0.603590,-2.023081,1.300735,-0.338036,1.722120
0.046627,-2.231133,0.604461,-1.996289,1.288228,-0.304478,1.697799
0.051023,-2.230573,0.603439,-1.990319,1.284850,-0.296919,1.692237
0.055419,-2.230681,0.603558,-1.984597,1.282866,-0.290091,1.686456
0.059814,-2.229828,0.603087,-1.977919,1.280521,-0.283101,1.681343
0.064210,-2.230952,0.603543,-1.972560,1.278898,-0.279992,1.678798
0.068606,-2.230188,0.603437,-1.971717,1.275738,-0.275335,1.675867
0.073002,-2.229534,0.603449,-1.966372,1.272831,-0.270500,1.672912
0.077398,-2.229427,0.603484,-1.963885,1.269363,-0.267783,1.670097
0.081794,-2.229940,0.603143,-1.960385,1.266950,-0.263135,1.667379
0.086190,-2.229846,0.602770,-1.957976,1.265844,-0.262133,1.665237
0.090586,-2.229750,0.602793,-1.957493,1.265203,-0.262241,1.665070
0.094981,-2.229582,0.603118,-1.957184,1.265398,-0.262880,1.665848
0.099377,-2.229799,0.602104,-1.957588,1.263902,-0.264107,1.664781
0.103773,-2.230154,0.602837,-1.957899,1.264942,-0.264665,1.666083
0.108169,-2.229895,0.603732,-1.958075,1.266001,-0.264675,1.667464
0.112565,-2.229347,0.603059,-1.958316,1.266200,-0.266500,1.668250
0.116961,-2.229705,0.603246,-1.959801,1.266630,-0.272135,1.671276
0.121357,-2.230440,0.602666,-1.962732,1.267066,-0.276855,1.674229
0.125753,-2.229724,0.603088,-1.967066,1.270176,-0.280580,1.677843
0.130148,-2.229459,0.603343,-1.971981,1.273854,-0.285797,1.682426
0.134544,-2.230888,0.602490,-1.977583,1.274712,-0.290381,1.683936
0.138940,-2.230591,0.603414,-1.987637,1.283979,-0.302653,1.692181
0.143336,-2.232216,0.604197,-1.990489,1.283600,-0.303454,1.693563
0.147732,-2.232045,0.603796,-1.991780,1.284072,-0.305449,1.693163
0.152128,-2.232894,0.604315,-1.993022,1.284563,-0.307059,1.692936
0.156524,-2.233011,0.604732,-1.993584,1.285459,-0.307689,1.692995
0.160919,-2.233281,0.605338,-1.993370,1.285778,-0.307489,1.692768
0.165315,-2.233038,0.605374,-1.993120,1.285974,-0.307125,1.692322
0.169711,-2.232885,0.605156,-1.992827,1.285721,-0.306646,1.691496
0.174107,-2.232970,0.606316,-1.991961,1.287394,-0.306366,1.691657
0.178503,-2.233246,0.606157,-1.991788,1.289011,-0.305224,1.689899
0.182899,-2.232346,0.608611,-1.990689,1.291583,-0.301580,1.688038
0.187295,-2.232014,0.616631,-1.986321,1.300122,-0.294959,1.685124
0.191691,-2.230720,0.629164,-1.979269,1.315119,-0.291279,1.680624
0.196086,-2.228713,0.649630,-1.972314,1.334098,-0.284978,1.677938
0.200482,-2.223247,0.675386,-1.963401,1.361840,-0.278571,1.674847
0.204878,-2.216685,0.712445,-1.954211,1.402870,-0.274816,1.670989
0.209274,-2.205805,0.752836,-1.943187,1.461247,-0.273040,1.669999
0.213670,-2.194462,0.798897,-1.926979,1.517357,-0.272352,1.669512
0.218066,-2.170722,0.855435,-1.909842,1.587158,-0.271871,1.669545
0.222462,-2.143027,0.916569,-1.894919,1.656009,-0.271793,1.670286
0.226857,-2.116644,0.972333,-1.869050,1.731967,-0.272559,1.671514
0.231253,-2.091005,1.019027,-1.839889,1.800348,-0.273379,1.672802
0.235649,-1.994477,1.141505,-1.742553,1.973326,-0.274651,1.675456
0.240045,-1.967096,1.166483,-1.716235,2.018148,-0.277283,1.679288
0.244441,-1.942599,1.194359,-1.692019,2.054839,-0.278392,1.682277
0.248837,-1.782873,1.332381,-1.668395,2.080755,-0.278838,1.681173
0.253233,-1.764743,1.342076,-1.650018,2.101161,-0.278206,1.682454
0.257628,-1.754931,1.348001,-1.635445,2.112416,-0.278973,1.681839
0.262024,-1.750087,1.353085,-1.624659,2.116004,-0.278651,1.679940
0.266420,-1.748440,1.352245,-1.617929,2.118021,-0.275119,1.678066
0.270816,-1.747349,1.350977,-1.612974,2.117195,-0.271547,1.677049
0.275212,-1.748039,1.350975,-1.608479,2.117013,-0.271391,1.673980
0.279608,-1.746132,1.349516,-1.599512,2.116883,-0.269647,1.672076
0.284004,-1.745419,1.350359,-1.592628,2.117037,-0.268141,1.670541
0.288400,-1.736389,1.357975,-1.579733,2.123824,-0.265155,1.668029
0.292795,-1.726495,1.365458,-1.563213,2.134753,-0.262984,1.663737
0.297191,-1.713705,1.377335,-1.545086,2.147689,-0.260116,1.660476
0.301587,-1.694608,1.383788,-1.526158,2.160778,-0.258540,1.658105
0.305983,-1.673614,1.390555,-1.508038,2.180389,-0.255312,1.656418
0.310379,-1.653935,1.404518,-1.489561,2.199476,-0.255474,1.656152
0.314775,-1.629422,1.409156,-1.470149,2.217023,-0.254585,1.655261
0.319171,-1.605808,1.418241,-1.447260,2.237901,-0.253573,1.654809
0.323566,-1.584131,1.429466,-1.428621,2.254914,-0.253295,1.655300
0.327962,-1.566406,1.433259,-1.409124,2.272773,-0.253610,1.655221
0.332358,-1.541150,1.435578,-1.389237,2.287902,-0.252427,1.654241
0.336754,-1.527595,1.440029,-1.372627,2.298608,-0.252129,1.653559
0.341150,-1.508720,1.443240,-1.360248,2.311086,-0.251747,1.653879
0.345546,-1.498609,1.445774,-1.346911,2.318965,-0.250010,1.654191
0.349942,-1.490705,1.446340,-1.336803,2.326563,-0.248980,1.653992
0.354338,-1.474027,1.450876,-1.318663,2.337352,-0.245987,1.652125
0.358733,-1.474086,1.449247,-1.316427,2.336774,-0.245492,1.650970
0.363129,-1.474754,1.447200,-1.316003,2.335693,-0.245353,1.648226
0.367525,-1.475059,1.448526,-1.315526,2.337011,-0.244348,1.648875
0.371921,-1.475477,1.448117,-1.315511,2.336947,-0.244649,1.648328
0.376317,-1.475617,1.447252,-1.315785,2.336511,-0.245170,1.647357
0.380713,-1.475888,1.447383,-1.315756,2.336985,-0.245249,1.647514
0.385109,-1.475257,1.447025,-1.315260,2.336981,-0.245033,1.647128
0.389504,-1.476103,1.447402,-1.315630,2.337425,-0.245134,1.647353
0.393900,-1.475626,1.445999,-1.315683,2.336277,-0.245655,1.645894
0.398296,-1.475686,1.445909,-1.315571,2.336135,-0.245556,1.645846
0.402692,-1.476059,1.445978,-1.315791,2.336406,-0.245633,1.645921
0.407088,-1.476085,1.447028,-1.315759,2.337109,-0.245552,1.646785
0.411484,-1.475882,1.447101,-1.315428,2.337403,-0.244810,1.647141
0.415880,-1.476140,1.446605,-1.315670,2.336407,-0.245710,1.646020
0.420276,-1.475791,1.446412,-1.315427,2.336478,-0.245412,1.646123
0.424671,-1.475913,1.446664,-1.315432,2.336710,-0.245493,1.646348
0.429067,-1.475387,1.447006,-1.315218,2.337394,-0.245219,1.646846
0.433463,-1.475408,1.445795,-1.315277,2.336458,-0.245210,1.645975
0.437859,-1.474838,1.445209,-1.315041,2.335786,-0.245078,1.645182
0.442255,-1.475065,1.446524,-1.314983,2.336966,-0.245173,1.646369
0.446651,-1.475275,1.446429,-1.315397,2.336771,-0.245443,1.646393
0.451047,-1.475426,1.446203,-1.315872,2.336533,-0.245798,1.646385
0.455442,-1.475413,1.446348,-1.316296,2.336627,-0.245818,1.646181
0.459838,-1.476224,1.445655,-1.316707,2.335631,-0.246437,1.645161
0.464234,-1.476716,1.446254,-1.316736,2.336500,-0.247033,1.645834
0.468630,-1.475776,1.445490,-1.316189,2.335888,-0.246312,1.645443
0.473026,-1.476573,1.446941,-1.316578,2.336667,-0.246619,1.646460
0.477422,-1.477123,1.446755,-1.316926,2.336844,-0.246749,1.646823
0.481818,-1.476712,1.445660,-1.316935,2.335998,-0.246770,1.645680
0.486214,-1.476830,1.447252,-1.316776,2.337307,-0.246320,1.646989
0.490609,-1.476515,1.446961,-1.316606,2.337202,-0.246211,1.646788
0.495005,-1.476151,1.445486,-1.316214,2.335290,-0.246317,1.645256
0.499401,-1.476070,1.445745,-1.316375,2.335885,-0.246146,1.645512
0.503797,-1.476546,1.446884,-1.316330,2.336751,-0.246278,1.646628
0.508193,-1.475556,1.445823,-1.315972,2.336152,-0.246028,1.646049
0.512589,-1.475961,1.445598,-1.316002,2.335743,-0.246058,1.645673
0.516985,-1.476068,1.445927,-1.316405,2.336414,-0.246130,1.645971
0.521380,-1.477081,1.446286,-1.317032,2.336549,-0.246869,1.645912
0.525776,-1.476043,1.446268,-1.315984,2.336710,-0.245993,1.646168
0.530172,-1.475773,1.445850,-1.316700,2.336496,-0.246201,1.645812
0.534568,-1.476461,1.446132,-1.317187,2.336681,-0.246658,1.645978
0.538964,-1.476885,1.447310,-1.316860,2.337248,-0.246525,1.646628
0.543360,-1.475607,1.446422,-1.316280,2.337212,-0.245908,1.646305
0.547756,-1.476859,1.445846,-1.317341,2.336302,-0.247267,1.645529
0.552151,-1.476375,1.445362,-1.316618,2.335506,-0.247010,1.644951
0.556547,-1.476339,1.446100,-1.316131,2.335816,-0.246613,1.645373
0.560943,-1.476614,1.446820,-1.316761,2.336433,-0.246876,1.646047
0.565339,-1.476351,1.445599,-1.316862,2.335386,-0.246782,1.644926
0.569735,-1.477052,1.447378,-1.317505,2.337368,-0.246642,1.646652
0.574131,-1.475801,1.446766,-1.316178,2.336737,-0.245954,1.646273
0.578527,-1.476186,1.446244,-1.316803,2.336340,-0.246678,1.645874
0.582923,-1.476694,1.446126,-1.317127,2.336288,-0.247217,1.645688
0.587318,-1.476118,1.445400,-1.317037,2.335318,-0.247280,1.644747
0.591714,-1.476433,1.445861,-1.316797,2.336187,-0.246937,1.645486
0.596110,-1.475458,1.445743,-1.316235,2.336001,-0.246358,1.645371
0.600506,-1.477017,1.445977,-1.317258,2.336354,-0.247489,1.645533
0.604902,-1.477174,1.445859,-1.317661,2.336099,-0.247806,1.645254
0.609298,-1.475891,1.445636,-1.316230,2.335836,-0.246298,1.645148
0.613694,-1.476765,1.446231,-1.317170,2.336482,-0.247126,1.645605
0.618089,-1.477717,1.446654,-1.317663,2.336673,-0.247600,1.645794
0.622485,-1.477624,1.446710,-1.318171,2.336892,-0.247962,1.645767
0.626881,-1.477399,1.446475,-1.317664,2.336431,-0.247753,1.645754
0.631277,-1.476468,1.446075,-1.317123,2.335882,-0.246995,1.645068
0.635673,-1.477481,1.446589,-1.317703,2.336647,-0.247904,1.646060
0.640069,-1.476873,1.446508,-1.316886,2.336606,-0.247235,1.645833
0.644465,-1.477185,1.446646,-1.317506,2.336805,-0.247529,1.646168
0.648861,-1.477536,1.446446,-1.318104,2.336715,-0.248012,1.645903
0.653256,-1.476806,1.446896,-1.316784,2.336997,-0.246730,1.646202
0.657652,-1.476834,1.446708,-1.316995,2.336786,-0.246903,1.646124
0.662048,-1.477152,1.446798,-1.317036,2.336751,-0.247026,1.645949
0.666444,-1.476029,1.445688,-1.316862,2.335784,-0.246849,1.644954
0.670840,-1.476457,1.446436,-1.317080,2.336735,-0.246984,1.645665
0.675236,-1.475732,1.445483,-1.317005,2.335968,-0.246948,1.645050
0.679632,-1.476236,1.446709,-1.316558,2.337048,-0.246664,1.646162
0.684027,-1.475539,1.445746,-1.316208,2.336405,-0.246293,1.645447
0.688423,-1.476129,1.446612,-1.316529,2.337205,-0.246385,1.646342
0.692819,-1.475816,1.445621,-1.316666,2.336306,-0.246718,1.645412
0.697215,-1.475638,1.445329,-1.316543,2.335846,-0.246739,1.644790
0.701611,-1.475323,1.445472,-1.315923,2.336154,-0.246014,1.645381
0.706007,-1.476899,1.446400,-1.317057,2.336793,-0.247230,1.645982
0.710403,-1.476360,1.445408,-1.316885,2.335760,-0.247274,1.644783
0.714799,-1.477127,1.446365,-1.316686,2.336643,-0.247222,1.645747
0.719194,-1.476268,1.445816,-1.316547,2.336530,-0.247050,1.645704
0.723590,-1.476446,1.445706,-1.316601,2.336100,-0.247035,1.644869
0.727986,-1.475315,1.445029,-1.316088,2.335517,-0.246518,1.644614
0.732382,-1.475993,1.445860,-1.316150,2.336201,-0.246592,1.645022
0.736778,-1.475304,1.446208,-1.315603,2.336514,-0.245789,1.645451
0.741174,-1.475870,1.445737,-1.316524,2.335905,-0.246589,1.644704
0.745570,-1.475698,1.445692,-1.316504,2.336084,-0.246689,1.645042
0.749965,-1.475428,1.446073,-1.316152,2.336200,-0.246222,1.645674
0.754361,-1.475261,1.445777,-1.315879,2.336125,-0.245944,1.645282
0.758757,-1.476128,1.445668,-1.316420,2.335451,-0.246349,1.644800
0.763153,-1.475715,1.445576,-1.316422,2.335909,-0.246486,1.645170
0.767549,-1.475723,1.445819,-1.316414,2.335887,-0.246495,1.645122
0.771945,-1.475162,1.446274,-1.315661,2.336682,-0.245501,1.645848
0.776341,-1.475457,1.445770,-1.315282,2.335741,-0.246122,1.645100
0.780737,-1.475423,1.445237,-1.316050,2.335727,-0.246284,1.644650
0.785132,-1.476514,1.446802,-1.316389,2.336863,-0.246522,1.646033
0.789528,-1.475625,1.446113,-1.315973,2.336686,-0.246058,1.645636
0.793924,-1.475186,1.445494,-1.315409,2.335792,-0.245604,1.644943
0.798320,-1.475620,1.445541,-1.316146,2.335978,-0.246524,1.645150
0.802716,-1.476881,1.446751,-1.316589,2.337039,-0.246799,1.646067
0.807112,-1.475965,1.445555,-1.316325,2.335772,-0.246929,1.644701
0.811508,-1.476725,1.445950,-1.316803,2.336115,-0.247378,1.645002
0.815903,-1.475311,1.445092,-1.315898,2.335265,-0.246126,1.643609
0.820299,-1.475886,1.445438,-1.316154,2.335849,-0.246842,1.644800
0.824695,-1.475591,1.445139,-1.316141,2.335534,-0.246855,1.644551
0.829091,-1.475042,1.444662,-1.315834,2.335099,-0.246556,1.644037
0.833487,-1.476166,1.445895,-1.316246,2.336300,-0.246750,1.645308
0.837883,-1.475691,1.445641,-1.315961,2.336064,-0.246499,1.644936
0.842279,-1.476306,1.445933,-1.316858,2.336351,-0.247332,1.645003
0.846675,-1.476949,1.446051,-1.317223,2.336354,-0.247846,1.645106
0.851070,-1.476496,1.446034,-1.317018,2.336214,-0.247363,1.645068
0.855466,-1.476392,1.445904,-1.316819,2.336161,-0.247196,1.645120
0.859862,-1.476289,1.445335,-1.317267,2.335040,-0.247526,1.643938
0.864258,-1.476824,1.445853,-1.317433,2.335525,-0.247768,1.644366
0.868654,-1.476003,1.445788,-1.316964,2.335973,-0.247215,1.644856
0.873050,-1.476709,1.446194,-1.316985,2.336203,-0.247242,1.645330
0.877446,-1.476686,1.445664,-1.317048,2.335690,-0.247290,1.644781
0.881841,-1.476092,1.444994,-1.316719,2.335276,-0.247191,1.644380
0.886237,-1.476960,1.446040,-1.317276,2.336093,-0.247823,1.645059
0.890633,-1.476118,1.446005,-1.316251,2.336115,-0.246828,1.645283
