t,xA,yA,xB,yB,xC,yC
0.317438,-2.102130,1.410258,-2.005328,2.145933,-0.704101,1.646550
0.321787,-2.080231,1.420638,-1.987094,2.161006,-0.703362,1.646586
0.326135,-2.056987,1.432063,-1.971599,2.183232,-0.702797,1.646569
0.330484,-2.033694,1.439866,-1.950608,2.209020,-0.702767,1.646583
0.334832,-2.011182,1.449394,-1.932866,2.218694,-0.702154,1.646408
0.339180,-1.990579,1.457607,-1.916960,2.229880,-0.701911,1.646510
0.343529,-1.970971,1.464102,-1.902158,2.249504,-0.701709,1.646375
0.347877,-1.956222,1.470155,-1.885512,2.264537,-0.701660,1.646173
0.352226,-1.938710,1.475272,-1.876775,2.261453,-0.701303,1.646126
0.356574,-1.922398,1.480833,-1.859544,2.274982,-0.701098,1.645766
0.360923,-1.906675,1.486228,-1.845015,2.295423,-0.700803,1.645630
0.365271,-1.888022,1.490812,-1.835854,2.288149,-0.698487,1.643911
0.369620,-1.870765,1.494341,-1.820704,2.304808,-0.696836,1.641936
0.373968,-1.853741,1.497425,-1.804815,2.313153,-0.695596,1.640701
0.378317,-1.837415,1.501912,-1.788428,2.328101,-0.694376,1.639700
0.382665,-1.821966,1.505707,-1.779422,2.322361,-0.693854,1.639021
0.387014,-1.809839,1.506161,-1.762426,2.339190,-0.692539,1.637914
0.391362,-1.767922,1.512273,-1.730652,2.345958,-0.686283,1.633462
0.395711,-1.759925,1.513577,-1.723515,2.354666,-0.685632,1.631930
0.400059,-1.754489,1.512963,-1.715114,2.366161,-0.685151,1.631052
0.404407,-1.750435,1.512993,-1.714826,2.354353,-0.684735,1.630592
0.408756,-1.748351,1.512294,-1.713173,2.350311,-0.684940,1.630001
0.413104,-1.747290,1.512671,-1.712493,2.351239,-0.744622,1.616082
0.417453,-1.747340,1.512011,-1.707505,2.368311,-0.744329,1.615624
0.421801,-1.746683,1.512517,-1.706932,2.364552,,
0.426150,-1.744940,1.512044,-1.706411,2.364479,-0.720355,1.624171
0.430498,-1.744040,1.512739,-1.706572,2.364283,-0.720053,1.624071
0.434847,-1.743594,1.511753,-1.707402,2.362694,-0.720030,1.623821
0.439195,-1.742805,1.512083,-1.707134,2.360265,-0.719788,1.623558
0.443544,-1.742731,1.511702,-1.706715,2.358850,-0.719891,1.623678
0.447892,-1.742267,1.512174,-1.706815,2.358284,-0.719896,1.623612
0.452241,-1.742322,1.512130,-1.706291,2.357519,-0.719808,1.623774
0.456589,-1.741880,1.512606,-1.706845,2.357918,-0.720004,1.623700
0.460938,-1.742282,1.512374,-1.706240,2.357159,-0.720087,1.623571
0.465286,-1.742216,1.512438,-1.706671,2.357741,-0.720248,1.623495
0.469634,-1.742845,1.512027,-1.706497,2.357581,-0.720176,1.623398
0.473983,-1.742729,1.512436,-1.706656,2.357109,-0.720121,1.623547
0.478331,-1.742827,1.512303,-1.706443,2.357288,-0.720079,1.623382
0.482680,-1.742983,1.512481,-1.706965,2.357814,-0.720038,1.623530
0.487028,-1.743001,1.512080,-1.706574,2.357518,-0.720119,1.623730
0.491377,-1.742834,1.512337,-1.706925,2.357545,-0.719952,1.623511
0.495725,-1.742681,1.511983,-1.706368,2.356405,-0.719745,1.623498
0.500074,-1.742583,1.512308,-1.706759,2.356988,-0.719382,1.623529
0.504422,-1.742599,1.511950,-1.706174,2.355540,-0.719144,1.623489
0.508771,-1.742751,1.512097,-1.706112,2.355007,-0.719045,1.623457
0.513119,-1.742694,1.512130,-1.706244,2.355638,-0.719032,1.623504
0.517468,-1.742732,1.512230,-1.706361,2.356231,-0.718927,1.623515
0.521816,-1.742376,1.511890,-1.706150,2.356530,-0.718926,1.623529
0.526165,-1.742732,1.512322,-1.705989,2.355234,-0.718954,1.623496
0.530513,-1.742305,1.511688,-1.707185,2.354508,-0.718924,1.623419
0.534861,-1.742135,1.511934,-1.707246,2.353582,-0.718864,1.623575
0.539210,-1.741903,1.511595,-1.706562,2.352181,-0.718851,1.623706
0.543558,-1.741281,1.512014,-1.707053,2.352105,-0.718606,1.623600
0.547907,-1.741653,1.511567,-1.706701,2.351896,-0.718809,1.623596
0.552255,-1.741426,1.512204,-1.706722,2.351556,-0.718899,1.623684
0.556604,-1.741675,1.511830,-1.706739,2.351509,-0.719032,1.623773
0.560952,-1.741479,1.511975,-1.706669,2.351075,-0.719148,1.623598
0.565301,-1.741799,1.511453,-1.706522,2.350839,-0.719239,1.623577
0.569649,-1.741860,1.511735,-1.706669,2.350859,-0.719324,1.623777
0.573998,-1.742131,1.511568,-1.706225,2.350277,-0.719370,1.623681
0.578346,-1.742214,1.512208,-1.706501,2.350553,-0.719352,1.623649
0.582695,-1.742414,1.511613,-1.706562,2.350704,-0.719391,1.623618
0.587043,-1.742300,1.512071,-1.707051,2.351381,-0.719594,1.623563
0.591392,-1.742259,1.511765,-1.707131,2.351672,-0.719582,1.623816
0.595740,-1.742075,1.512026,-1.707071,2.352193,-0.719611,1.623808
0.600088,-1.742230,1.512072,-1.707000,2.352431,-0.719671,1.623715
0.604437,-1.742147,1.512431,-1.706804,2.351699,-0.719742,1.623777
0.608785,-1.742200,1.511840,-1.706834,2.351949,-0.719751,1.623850
0.613134,-1.742387,1.512348,-1.707089,2.351637,-0.719763,1.623912
0.617482,-1.742544,1.512057,-1.707044,2.351885,-0.719745,1.623889
0.621831,-1.742541,1.512291,-1.707254,2.352328,-0.719813,1.623960
0.626179,-1.742703,1.512050,-1.706895,2.351371,-0.719709,1.623940
0.630528,-1.742360,1.512517,-1.707024,2.352338,-0.719717,1.624029
0.634876,-1.742230,1.512237,-1.706716,2.351618,-0.719773,1.623927
0.639225,-1.742309,1.512657,-1.706655,2.351440,-0.719594,1.624113
0.643573,-1.742250,1.512243,-1.706382,2.350770,-0.719566,1.624008
0.647922,-1.742163,1.512303,-1.706673,2.350902,-0.719590,1.624087
0.652270,-1.742235,1.511962,-1.706284,2.350015,-0.719539,1.623998
0.656619,-1.742242,1.512271,-1.706689,2.350555,-0.719343,1.624112
0.660967,-1.742392,1.511942,-1.706233,2.349615,-0.719417,1.624108
0.665315,-1.742389,1.512453,-1.706738,2.350589,-0.719288,1.624148
0.669664,-1.742026,1.512057,-1.706224,2.349895,-0.718848,1.624131
0.674012,-1.741982,1.512523,-1.706210,2.350239,-0.718607,1.624192
0.678361,-1.741869,1.512235,-1.705957,2.349422,-0.718447,1.623991
0.682709,-1.741704,1.512496,-1.706487,2.350330,-0.718558,1.623964
0.687058,-1.741707,1.511972,-1.705977,2.349559,-0.718667,1.623849
0.691406,-1.741769,1.512487,-1.706139,2.349773,-0.718687,1.623877
0.695755,-1.741808,1.511824,-1.705989,2.350726,-0.718679,1.623931
0.700103,-1.741612,1.512400,-1.706143,2.351130,-0.718643,1.623869
0.704452,-1.741421,1.511888,-1.705986,2.350416,-0.718671,1.623930
0.708800,-1.740561,1.512439,-1.705426,2.349408,-0.717764,1.623914
0.713149,-1.740231,1.512148,-1.704694,2.348973,-0.717311,1.623869
0.717497,-1.740005,1.512374,-1.705001,2.349873,-0.717089,1.623862
0.721846,-1.740099,1.512276,-1.699369,2.366118,-0.716577,1.623779
0.726194,-1.739931,1.512633,-1.698927,2.364705,-0.716233,1.624612
0.730542,-1.739900,1.512001,-1.698401,2.363549,-0.714761,1.624380
0.734891,-1.740219,1.512303,-1.698795,2.363844,-0.713509,1.624167
0.739239,-1.740456,1.512061,-1.698202,2.362892,-0.712565,1.624256
0.743588,-1.740619,1.512490,-1.698554,2.363208,-0.712235,1.624432
0.747936,-1.741091,1.511992,-1.698803,2.364180,-0.712331,1.624293
0.752285,-1.740981,1.512460,-1.698868,2.364836,-0.711908,1.624116
0.756633,-1.741291,1.512156,-1.698720,2.364857,-0.711810,1.624175
0.760982,-1.741197,1.512669,-1.699126,2.366152,-0.711841,1.624138
0.765330,-1.741336,1.512091,-1.699173,2.366723,-0.712110,1.624103
0.769679,-1.741279,1.512594,-1.698988,2.366422,-0.711987,1.624146
0.774027,-1.741674,1.512324,-1.699036,2.366834,-0.712038,1.624221
0.778376,-1.741954,1.513099,-1.699250,2.367468,-0.712206,1.624427
0.782724,-1.742490,1.512638,-1.699240,2.367281,-0.712569,1.624351
0.787073,-1.742439,1.512857,-1.699322,2.367466,-0.712580,1.624425
0.791421,-1.742482,1.512723,-1.699102,2.367454,-0.712797,1.624698
0.795769,-1.742544,1.513248,-1.699554,2.368598,-0.712728,1.624975
0.800118,-1.742734,1.513089,-1.699513,2.368705,-0.712759,1.624976
0.804466,-1.742903,1.513419,-1.699345,2.368489,-0.712561,1.624706
0.808815,-1.742840,1.512873,-1.699229,2.368518,-0.712484,1.624763
0.813163,-1.742718,1.513547,-1.699668,2.370766,-0.712615,1.624993
0.817512,-1.742628,1.513262,-1.699444,2.369461,-0.712560,1.625067
0.821860,-1.742923,1.513776,-1.700106,2.370900,-0.712431,1.625357
0.826209,-1.743129,1.513424,-1.699388,2.368791,-0.712396,1.625212
0.830557,-1.743054,1.513904,-1.699654,2.369065,-0.712483,1.625209
0.834906,-1.743382,1.513305,-1.699032,2.367797,-0.712349,1.625110
0.839254,-1.742437,1.513952,-1.699286,2.368148,-0.712417,1.625214
0.843603,-1.742334,1.513414,-1.698988,2.367892,-0.712528,1.625160
0.847951,-1.742636,1.513512,-1.699066,2.368107,-0.712616,1.624992
0.852300,-1.742757,1.513158,-1.698886,2.367622,-0.712577,1.624926
0.856648,-1.742539,1.513514,-1.699258,2.368292,-0.712450,1.625049
0.860996,-1.742453,1.512998,-1.698642,2.367021,-0.712359,1.624967
0.865345,-1.742584,1.513229,-1.698975,2.367129,-0.712500,1.624819
0.869693,-1.742438,1.512404,-1.698726,2.366557,-0.712563,1.624677
0.874042,-1.742062,1.512815,-1.698301,2.365734,-0.712221,1.624787
0.878390,-1.742073,1.512494,-1.698171,2.365478,-0.712026,1.624784
0.882739,-1.742296,1.512799,-1.698547,2.366497,-0.712014,1.624681
0.887087,-1.742174,1.512601,-1.698347,2.365684,-0.712059,1.624659
0.891436,-1.742307,1.512705,-1.698680,2.366571,-0.711820,1.624401
0.895784,-1.742137,1.512206,-1.698307,2.365393,-0.711598,1.624215
0.900133,-1.742125,1.512691,-1.697911,2.364777,-0.711058,1.624256
0.904481,-1.741649,1.512422,-1.697710,2.363961,-0.710769,1.624440
0.908830,-1.741512,1.512740,-1.697939,2.364724,-0.710840,1.624445
0.913178,-1.741146,1.512354,-1.697756,2.364386,-0.710871,1.624436
0.917527,-1.740971,1.512964,-1.697909,2.364591,-0.710955,1.624476
0.921875,-1.741076,1.512793,-1.697874,2.364416,-0.710931,1.624575
0.926223,-1.740976,1.512928,-1.698207,2.365128,-0.711138,1.624408
0.930572,-1.741378,1.512455,-1.698362,2.365876,-0.711330,1.624366
0.934920,-1.741238,1.513015,-1.698824,2.367170,-0.711498,1.624525
0.939269,-1.741814,1.512488,-1.698385,2.366188,-0.711385,1.624598
0.943617,-1.742119,1.512964,-1.698574,2.366857,-0.711946,1.624824
0.947966,-1.742667,1.512511,-1.698768,2.367513,-0.712155,1.624806
0.952314,-1.742769,1.512739,-1.699303,2.368404,-0.712226,1.624878
0.956663,-1.742839,1.512575,-1.699120,2.368052,-0.712391,1.624659
0.961011,-1.742947,1.512839,-1.698993,2.368302,-0.712560,1.624918
0.965360,-1.743039,1.512879,-1.698994,2.368406,-0.713019,1.624862
0.969708,-1.742962,1.513344,-1.699437,2.370047,-0.713060,1.625006
0.974057,-1.742988,1.513128,-1.699013,2.369271,-0.712988,1.625101
0.978405,-1.742780,1.513172,-1.699396,2.369794,-0.713039,1.625070
0.982754,-1.742709,1.512771,-1.699227,2.369528,-0.713140,1.624928
0.987102,-1.742555,1.513006,-1.699295,2.369888,-0.712779,1.624892
0.991450,-1.742355,1.512886,-1.698688,2.367722,-0.712426,1.624917
0.995799,-1.742253,1.512940,-1.698737,2.367780,-0.712266,1.624794
1.000147,-1.742209,1.512748,-1.698365,2.366912,-0.712261,1.624711
1.004496,-1.741873,1.512945,-1.698576,2.367395,-0.712104,1.624707
1.008844,-1.741861,1.512582,-1.698297,2.366469,-0.711748,1.624565
1.013193,-1.741848,1.512503,-1.698519,2.367113,-0.711875,1.624594
1.017541,-1.742056,1.512148,-1.698530,2.367047,-0.712212,1.624545
1.021890,-1.741947,1.512739,-1.698642,2.367545,-0.712224,1.624605
1.026238,-1.742011,1.512324,-1.698599,2.367443,-0.712066,1.624440
1.030587,-1.742078,1.513105,-1.698641,2.367330,-0.712150,1.624430
1.034935,-1.742137,1.512572,-1.698403,2.366648,-0.712168,1.624398
1.039284,-1.742013,1.512805,-1.698799,2.366876,-0.712203,1.624351
1.043632,-1.742066,1.512640,-1.698587,2.366750,-0.711994,1.624503
1.047980,-1.741982,1.512846,-1.698704,2.366759,-0.711775,1.624603
1.052329,-1.741864,1.512523,-1.698390,2.365973,-0.711808,1.624365
1.056677,-1.741862,1.512799,-1.698357,2.365403,-0.711745,1.624270
1.061026,-1.741716,1.512500,-1.698226,2.365353,-0.711859,1.624281
1.065374,-1.741244,1.512801,-1.698301,2.365727,-0.711616,1.624451
1.069723,-1.741271,1.512361,-1.697953,2.364938,-0.711686,1.624625
1.074071,-1.741842,1.512868,-1.698795,2.367583,-0.711654,1.624864
1.078420,-1.742580,1.512312,-1.699490,2.369751,-0.711704,1.625048
1.082768,-1.773133,1.508998,-1.730446,2.344562,-0.713926,1.626613
1.087117,-1.784706,1.508356,-1.739318,2.343279,-0.715531,1.628007
1.091465,-1.796215,1.507825,-1.746746,2.349359,-0.716713,1.629120
1.095814,-1.813018,1.506028,-1.762850,2.333587,-0.721564,1.632408
1.100162,-1.823996,1.503538,-1.770623,2.332481,-0.724107,1.634382
1.104511,-1.828767,1.503026,-1.779339,2.333377,-0.728255,1.637723
1.108859,-1.838436,1.505099,-1.793640,2.318695,-0.734049,1.645974
1.113207,-1.853159,1.503488,-1.803099,2.324249,-0.738127,1.648976
1.117556,-1.868468,1.499741,-1.820119,2.311988,-0.741306,1.649804
1.121904,-1.879570,1.500044,-1.829833,2.314221,-0.749660,1.655671
1.126253,-1.887575,1.499309,-1.844709,2.319172,-0.759699,1.664940
1.130601,-1.893075,1.497174,-1.860593,2.313562,-0.772361,1.674084
1.134950,-1.897638,1.495373,-1.875906,2.307068,-0.780136,1.682453
1.139298,-1.897865,1.494629,-1.884471,2.316572,-0.786784,1.691471
1.143647,-1.897269,1.494918,-1.892204,2.315323,-0.794399,1.698447
1.147995,-1.896838,1.494238,-1.901244,2.317150,-0.801276,1.703767
1.152344,-1.899794,1.492480,-1.915542,2.309993,-0.808097,1.708513
1.156692,-1.915347,1.488379,-1.933280,2.298034,-0.815643,1.713047
1.161041,-1.935662,1.482096,-1.950002,2.297002,-0.818967,1.716951
1.165389,-1.963350,1.472893,-1.966233,2.300917,-0.820872,1.718679
1.169738,-1.990691,1.462136,-1.989740,2.285665,-0.824321,1.720884
1.174086,-2.022287,1.449438,-2.014271,2.252620,-0.829848,1.722896
1.178434,-2.044311,1.439623,-2.037740,2.222658,-0.832831,1.724933
1.182783,-2.064010,1.432166,-2.053717,2.208063,-0.836051,1.727036
1.187131,-2.085231,1.421990,-2.071298,2.199066,-0.842210,1.730495
1.191480,-2.100582,1.412669,-2.071304,2.236863,-0.845248,1.731774
1.195828,-2.114903,1.404167,-2.102111,2.166866,-0.846367,1.732852
1.200177,-2.134040,1.396026,-2.118881,2.152265,-0.851114,1.735107
1.204525,-2.157397,1.381254,-2.135282,2.152582,-0.854931,1.737037
1.208874,-2.232239,1.331885,-2.198805,2.062031,-0.865854,1.744460
1.213222,-2.259661,1.309050,-2.216884,2.046242,-0.868014,1.745352
1.217571,-2.280610,1.291456,-2.232506,2.026620,-0.870014,1.745953
1.221919,-2.297671,1.275649,-2.249557,2.012492,-0.873787,1.747816
1.226268,-2.318602,1.258076,-2.264936,1.988697,-0.876901,1.749566
1.230616,-2.334372,1.241848,-2.280866,1.961575,-0.879135,1.751877
1.234965,-2.347812,1.225533,-2.297298,1.933999,-0.881929,1.753182
1.239313,-2.364312,1.210482,-2.312221,1.901403,-0.884249,1.755289
1.243661,-2.379674,1.193091,-2.321062,1.895515,-0.887347,1.757037
1.248010,-2.398325,1.174926,-2.337328,1.863641,-0.890695,1.757389
1.252358,-2.420160,1.148010,-2.345630,1.851001,-0.893137,1.757553
1.256707,-2.439733,1.125431,-2.353063,1.821408,-0.894834,1.758382
1.261055,-2.459854,1.096794,-2.369264,1.783383,-0.897512,1.760515
1.265404,-2.484146,1.064319,-2.386571,1.747783,-0.899856,1.761437
1.269752,-2.505295,1.031267,-2.393588,1.725960,-0.901059,1.761996
1.274101,-2.521931,0.999263,-2.402386,1.685353,-0.901335,1.762401
